x_low,x_high,x_center,entries,mean,mean_error,sigma,sigma_error,chi2_ndf,iterations,fit_status
-1,-0.8,-0.9,3433,0.000142159373902,5.58681681281e-05,0.00272979623104,6.4084853832e-05,1.49997917157,2,0
-0.8,-0.6,-0.7,3960,0.000127005004223,4.60256594118e-05,0.00252053717243,5.00337538358e-05,1.37544292919,2,0
-0.6,-0.4,-0.5,4278,9.78736001411e-05,4.29453693793e-05,0.00243756948362,4.60640591953e-05,1.97912337068,3,0
-0.4,-0.2,-0.3,4228,0.000107857055252,4.12238831589e-05,0.00230203570777,4.61985128566e-05,3.08562672387,3,0
-0.2,0,-0.1,4246,0.000221650621765,4.05489470693e-05,0.00225718835387,4.35585818136e-05,1.99301971215,5,0
0,0.2,0.1,4231,0.000203552043703,3.97524472616e-05,0.00222005416521,4.44879468397e-05,2.79100459318,4,0
0.2,0.4,0.3,4348,0.000108919620762,4.17492982873e-05,0.00240624251101,4.49470176856e-05,1.79364397771,3,0
0.4,0.6,0.5,4122,0.000125614541446,4.46491172237e-05,0.00250094803381,4.74795319596e-05,1.72572612165,2,0
0.6,0.8,0.7,3991,0.000231734101534,4.62146469403e-05,0.00250548134221,5.10360041918e-05,1.66449253661,3,0
0.8,1,0.9,3454,7.76802702016e-05,5.37510635188e-05,0.00265974921136,6.14402974221e-05,2.28135312776,2,0
