x_low,x_high,x_center,entries,iterative_mean,iterative_mean_error,iterative_sigma,iterative_sigma_error,iterative_chi2_ndf,iterative_iterations,iterative_fit_status,fitslicesy_sigma,fitslicesy_sigma_error,fwhm,fwhm_sigma
-1,-0.8,-0.9,3904,-0.00773032346837,0.000244718524182,0.0125453453021,0.000254494485257,1.21414999457,3,0,0,0,0.0237461533154,0.010084062842
-0.8,-0.6,-0.7,4362,-0.00724439514137,0.000211614883706,0.0117657427761,0.000218915141665,2.04816010195,4,0,0,0,0.0234543645551,0.00996015156441
-0.6,-0.4,-0.5,4567,-0.00750295517932,0.000207712447278,0.0117458181306,0.000211545766407,2.320517712,3,0,0,0,0.0254709340811,0.0108165097945
-0.4,-0.2,-0.3,4437,-0.0075643267709,0.000223343504747,0.0122195132587,0.000232594758408,1.42734556329,3,0,0,0,0.0256506459784,0.0108928264106
-0.2,0,-0.1,4434,-0.00733023002685,0.0002198582868,0.0121382694229,0.000230218311106,1.30712870015,3,0,0,0,0.0259431812383,0.0110170546974
0,0.2,0.1,4391,-0.00705168774769,0.000216036187139,0.0120341753527,0.000231431839571,1.39924108316,4,0,0,0,0.0257620961984,0.0109401549613
0.2,0.4,0.3,4549,-0.0074110208058,0.000221189089222,0.0124142902215,0.000223860600874,0.853855253064,3,0,0,0,0.02549999943,0.0108288527118
0.4,0.6,0.5,4422,-0.00735425245317,0.000211390119336,0.0118499439813,0.00021900059341,1.50793734255,3,0,0,0,0.026227272141,0.0111376969959
0.6,0.8,0.7,4351,-0.00747472499688,0.000228129854787,0.0124030950522,0.000241203592619,1.22902911493,2,0,0,0,0.0262427077468,0.0111442518941
0.8,1,0.9,3938,-0.00747178863452,0.000237203426279,0.0123695315964,0.000239352507578,1.19061011775,3,0,0,0,0.0274726184336,0.0116665468735
